日期,天气状况,气温
2019年09月01日,大到暴雨/中到大雨,23℃/19℃
2019年09月02日,中雨/大雨,24℃/23℃
2019年09月03日,中雨/中雨,24℃/22℃
2019年09月04日,雷阵雨/小雨,28℃/24℃
2019年09月05日,中雨/中雨,29℃/24℃
2019年09月06日,雷阵雨/雷阵雨,28℃/24℃
2019年09月07日,晴/晴,30℃/21℃
2019年09月08日,晴/晴,31℃/23℃
2019年09月09日,多云/多云,29℃/23℃
2019年09月10日,多云/晴,32℃/25℃
2019年09月11日,多云/多云,32℃/24℃
2019年09月12日,晴/晴,32℃/22℃
2019年09月13日,多云/晴,30℃/23℃
2019年09月14日,多云/多云,31℃/24℃
2019年09月15日,小雨/多云,29℃/22℃
2019年09月16日,晴/晴,29℃/22℃
2019年09月17日,晴/晴,28℃/21℃
2019年09月18日,晴/晴,29℃/20℃
2019年09月19日,多云/多云,26℃/19℃
2019年09月20日,多云/多云,26℃/21℃
2019年09月21日,阵雨/多云,25℃/21℃
2019年09月22日,小雨/晴,26℃/19℃
2019年09月23日,晴/晴,27℃/18℃
2019年09月24日,晴/多云,27℃/17℃
2019年09月25日,多云/多云,28℃/19℃
2019年09月26日,多云/多云,27℃/19℃
2019年09月27日,多云/多云,27℃/19℃
2019年09月28日,多云/多云,28℃/20℃
2019年09月29日,多云/多云,28℃/20℃
2019年09月30日,多云/多云,28℃/23℃
2019年10月01日,中雨/中雨,25℃/22℃
2019年10月02日,阵雨/多云,27℃/22℃
2019年10月03日,多云/晴,30℃/23℃
2019年10月04日,晴/多云,32℃/20℃
2019年10月05日,小雨/多云,24℃/18℃
2019年10月06日,阴/阴,24℃/18℃
2019年10月07日,阴/多云,23℃/18℃
2019年10月08日,阴/多云,20℃/16℃
2019年10月09日,多云/晴,23℃/17℃
2019年10月10日,多云/多云,27℃/20℃
2019年10月11日,阴/多云,25℃/21℃
2019年10月12日,多云/多云,24℃/19℃
2019年10月13日,多云/多云,25℃/17℃
2019年10月14日,小雨/多云,23℃/15℃
2019年10月15日,多云/多云,20℃/13℃
2019年10月16日,多云/小雨,20℃/16℃
2019年10月17日,多云/多云,22℃/16℃
2019年10月18日,多云/晴,23℃/15℃
2019年10月19日,晴/晴,23℃/13℃
2019年10月20日,晴/多云,24℃/14℃
2019年10月21日,晴/多云,23℃/14℃
2019年10月22日,多云/阴,23℃/16℃
2019年10月23日,多云/多云,22℃/15℃
2019年10月24日,晴/多云,25℃/15℃
2019年10月25日,多云/多云,23℃/16℃
2019年10月26日,阴/多云,19℃/12℃
2019年10月27日,阴/多云,18℃/11℃
2019年10月28日,多云/晴,21℃/12℃
2019年10月29日,晴/晴,22℃/12℃
2019年10月30日,晴/晴,22℃/11℃
2019年10月31日,晴/晴,25℃/13℃
2019年11月01日,多云/多云,24℃/14℃
2019年11月02日,多云/多云,24℃/17℃
2019年11月03日,多云/多云,22℃/14℃
2019年11月04日,多云/多云,22℃/12℃
2019年11月05日,晴/晴,21℃/12℃
2019年11月06日,多云/阴,20℃/14℃
2019年11月07日,阴/多云,20℃/13℃
2019年11月08日,晴/晴,19℃/10℃
2019年11月09日,晴/多云,17℃/7℃
2019年11月10日,多云/多云,21℃/10℃
2019年11月11日,多云/多云,22℃/11℃
2019年11月12日,阴/小雨,20℃/16℃
2019年11月13日,多云/晴,21℃/9℃
2019年11月14日,晴/多云,18℃/10℃
2019年11月15日,晴/晴,21℃/12℃
2019年11月16日,晴/多云,24℃/16℃
2019年11月17日,小雨/小雨,24℃/11℃
2019年11月18日,小雨/多云,11℃/5℃
2019年11月19日,晴/晴,13℃/5℃
2019年11月20日,晴/多云,15℃/11℃
2019年11月21日,多云/晴,16℃/11℃
2019年11月22日,晴/多云,21℃/16℃
2019年11月23日,阴/多云,23℃/16℃
2019年11月24日,小雨/小雨,20℃/8℃
2019年11月25日,小雨/阴,10℃/6℃
2019年11月26日,阴/小雨,12℃/8℃
2019年11月27日,小雨/小雨,9℃/7℃
2019年11月28日,多云/多云,10℃/6℃
2019年11月29日,多云/多云,12℃/9℃
2019年11月30日,小雨/小雨,13℃/8℃
2019年12月01日,小雨/多云,9℃/4℃
2019年12月02日,多云/多云,9℃/0℃
2019年12月03日,多云/多云,10℃/3℃
2019年12月04日,多云/多云,12℃/3℃
2019年12月05日,多云/多云,13℃/6℃
2019年12月06日,晴/晴,9℃/0℃
2019年12月07日,晴/晴,11℃/3℃
2019年12月08日,晴/晴,11℃/3℃
2019年12月09日,多云/晴,15℃/5℃
2019年12月10日,晴/晴,16℃/5℃
2019年12月11日,晴/晴,15℃/5℃
2019年12月12日,晴/晴,14℃/6℃
2019年12月13日,晴/晴,16℃/7℃
2019年12月14日,多云/晴,16℃/9℃
2019年12月15日,多云/多云,16℃/11℃
2019年12月16日,多云/小雨,21℃/13℃
2019年12月17日,小雨/小雨,13℃/8℃
2019年12月18日,小雨/小雨,9℃/5℃
2019年12月19日,阴/多云,7℃/3℃
2019年12月20日,阴/小雨,10℃/6℃
2019年12月21日,中雨/中雨,10℃/8℃
2019年12月22日,多云/多云,13℃/7℃
2019年12月23日,小雨/小雨,12℃/8℃
2019年12月24日,小雨/小雨,11℃/9℃
2019年12月25日,小雨/小雨,13℃/5℃
2019年12月26日,阴/多云,9℃/3℃
2019年12月27日,晴/多云,8℃/1℃
2019年12月28日,多云/小雨,11℃/7℃
2019年12月29日,多云/多云,12℃/5℃
2019年12月30日,晴/晴,13℃/0℃
2019年12月31日,晴/晴,4℃/0℃
